Average Number of Humans per Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film Name,Part,Year,,Era,Average,Standard Deviation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Nebesnyj tihohod,,1945,,1940s,2.91883014,2.590395849,9202,19827,43102,18855,9812,5264,3150,2473,2216,1651,1390,952,508,520,452,197,103,78,92,54,37,9,2,,,,
Padenie Berlina 1949,1,1949,,1940s,4.333746124,3.367709947,9254,13307,20282,11125,8759,7861,7303,6725,5944,5070,4591,2501,1593,812,343,190,92,20,8,2,2,,,,,,
Padenie Berlina 1949,2,1949,,1940s,3.49053275,2.959391241,14582,18860,20682,13990,10886,6633,6502,5401,5070,4501,2871,1305,594,222,96,22,10,1,1,,,,,,,,
Maksim Perepelica,,1955,Thaw,1950s,3.669295857,3.294763398,7987,21344,39467,17551,10349,6361,5086,4275,3677,3356,3126,2525,2201,1531,933,481,246,105,58,31,17,3,2,,,,
Soldaty,,1956,Thaw,1950s,3.459739879,2.902991621,6568,27761,40243,21092,16635,12839,7914,3877,3248,2292,1555,1267,1287,1239,1067,722,339,141,42,24,4,4,1,,,,
Otrjad Trubacheva Srajajetsja,,1957,Thaw,1950s,3.416446749,2.724875918,12597,23061,47219,18862,14789,11198,8771,7532,5924,3984,2837,1873,946,416,167,82,18,5,5,1,,,,,,,
Devochka ischet otca,,1959,Thaw,1950s,1.999650967,2.004377487,28531,47393,40654,16012,6905,4306,3516,2284,2131,1484,871,392,163,35,13,8,6,1,5,1,2,,,,,,
Sudba cheloveka,,1959,Thaw,1950s,2.065474243,2.153902216,5756,7045,7565,2816,1394,1013,588,366,287,185,184,141,101,35,24,6,1,,,,,,,,,,
Baltijskoje nebo 1960,1,1960,Thaw,1960s,2.191354805,2.002560032,28114,32251,42401,20639,11798,6909,3651,2417,1330,661,450,258,129,119,129,105,77,31,8,5,1,,,,,,
Evdokija,,1961,Thaw,1960s,3.136871156,2.874892417,5977,37538,45733,22126,10136,5559,4979,4362,3314,2803,2473,2008,1459,924,456,367,264,144,73,25,6,2,3,2,,,
V trudnyj chas,,1961,Thaw,1960s,2.727962483,2.688351628,19535,30803,41388,17215,9792,6324,4337,3041,2469,2053,1787,1642,1178,641,361,194,64,30,11,3,2,,,,,,
Ivanovo Detstvo,,1962,Thaw,1960s,1.770959876,1.701216361,25731,44309,37341,15232,7555,2673,1391,562,460,518,479,301,174,96,98,29,20,5,2,,,,,,,,
Ivanovo Detstvo,,1962,Thaw,1960s,1.650325604,1.572876903,30282,44283,32988,16144,7510,2904,1159,479,285,259,229,195,106,73,32,20,14,5,2,4,2,1,,,,,
Tretja raketa,,1963,Thaw,1960s,1.886425505,1.743965171,18377,40887,28522,12066,5279,2773,2795,1971,1207,543,142,38,8,3,1,,,,,,,,,,,,
Zhavoronok,,1964,Thaw,1960s,2.340135154,2.784402767,30110,34288,25412,13113,7174,3989,2923,2832,2208,1577,1021,943,1017,862,549,306,98,11,7,2,2,2,,,,,
Zhivye i mertvye 1964,1,1964,Thaw,1960s,2.587922427,2.572175426,22879,30440,37449,19836,8428,4767,3949,3342,2898,2312,1764,1184,784,414,218,100,44,14,1,,,,,,,,
Zhivye i mertvye 1964,2,1964,Thaw,1960s,2.32942185,2.291577698,11103,41574,54346,17548,4629,2341,1750,1709,1759,1455,1211,836,691,613,353,227,110,35,17,5,2,1,1,,,,
Obyknovennyj fashizm 1965,1,1965,Brezhnev,1960s,4.488693283,4.130400877,15623,20011,11554,6616,5627,5128,5000,5927,5413,5732,4966,3687,2693,1690,985,608,323,196,120,67,29,19,4,1,,,
Obyknovennyj fashizm 1965,2,1965,Brezhnev,1960s,3.425793838,3.808262269,23023,20140,9769,7228,5382,3978,3871,3351,3479,3317,2992,2339,1745,1065,641,335,216,127,70,22,2,,,,,,
Serdce druga,,1966,Brezhnev,1960s,1.710323483,1.70332391,28054,54582,39738,15452,5930,2964,1350,876,633,618,476,324,238,155,81,42,18,6,1,,,,,,,,
Zimnee utro,,1966,Brezhnev,1960s,1.934379932,1.766865642,19346,54741,45280,15401,6709,4471,3182,1761,826,423,290,288,261,144,96,56,21,13,7,5,1,,,,,,
Zhenja Zhenechka i Katjusha,,1967,Brezhnev,1960s,2.852377147,2.721655584,12908,32662,27034,14095,9471,6930,5225,3493,2434,1362,1227,1166,880,469,356,209,116,61,29,11,6,,,,,,
Eto bylo v razvedke,,1968,Brezhnev,1960s,2.562045681,2.378828819,27743,33868,31479,24544,15455,9742,5915,2901,2093,1694,1261,778,685,125,165,268,30,7,1,,,,,,,,
Na vojne kak na vojne,,1968,Brezhnev,1960s,2.676556863,2.487418582,20051,26537,25577,19081,17041,6402,4391,2328,1692,1158,782,615,596,478,308,239,130,71,20,2,1,,,,,,
Osvobojdenije 1968,1,1968,Brezhnev,1960s,2.478821363,2.791600889,44112,32768,23220,22671,12888,11628,6597,3063,1647,1183,1107,778,825,674,712,535,366,176,63,33,18,4,3,1,,,
Osvobojdenije 1968,2,1968,Brezhnev,1960s,3.626572072,3.702300115,27111,22047,30738,22492,11962,11639,6442,4690,4627,4910,3843,2576,1937,1158,743,481,343,209,312,1310,393,14,2,1,,,
